ID,phylum,class,order,family,genus,species,28S,Berry_16S,CO1,MiFish_E,MiFish_U,Riaz_12S
Zotu100,Chordata,Chaetodontiformes,Chaetodontiformes,Chaetodontidae,Chaetodon,Chaetodon kleinii,0,1,1,0,0,0
Zotu127,Chordata,Echinorhiniformes,Echinorhiniformes,Echinorhinidae,Echinorhinus,Echinorhinus cookei,0,1,1,1,0,1
Zotu14,Chordata,Perciformes,Perciformes,Pomacentridae,Dascyllus,,0,1,1,1,1,1
Zotu146,Chordata,Gobiiformes,Gobiiformes,Gobiidae,Ptereleotris,Ptereleotris heteroptera,0,1,0,1,0,1
Zotu147,Chordata,Hexanchiformes,Hexanchiformes,Hexanchidae,Hexanchus,Hexanchus griseus,1,1,1,1,1,1
Zotu149,Chordata,Holocentriformes,Holocentriformes,Holocentridae,Myripristis,,1,1,0,1,1,1
Zotu152,Chordata,Holocentriformes,Holocentriformes,Holocentridae,Myripristis,Myripristis vittata,0,1,0,0,0,0
Zotu153,Chordata,Holocentriformes,Holocentriformes,Holocentridae,Neoniphon,Neoniphon sammara,0,1,0,1,1,1
Zotu154,Chordata,Holocentriformes,Holocentriformes,Holocentridae,Plectrypops,Plectrypops lima,1,1,0,1,1,0
Zotu155,Chordata,Holocentriformes,Holocentriformes,Holocentridae,Sargocentron,,1,1,1,1,1,1
Zotu162,Chordata,Labriformes,Labriformes,Labridae,Chlorurus,,0,1,0,1,1,0
Zotu166,Chordata,Labriformes,Labriformes,Labridae,Hipposcarus,Hipposcarus longiceps,0,1,1,0,1,1
Zotu169,Chordata,Lutjaniformes,Lutjaniformes,Lutjanidae,Lutjanus,,0,1,0,0,1,1
Zotu170,Chordata,Lutjaniformes,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus bohar,0,1,0,1,1,1
Zotu176,Chordata,Myliobatiformes,Myliobatiformes,Myliobatidae,Mobula,,0,1,0,1,0,1
Zotu185,Chordata,Perciformes,Perciformes,Serranidae,Epinephelus,Epinephelus polyphekadion,0,1,0,0,1,1
Zotu188,Chordata,Perciformes,Perciformes,Serranidae,Variola,Variola louti,0,1,0,1,1,0
Zotu20,Chordata,Acanthuriformes,Acanthuriformes,Acanthuridae,,,1,1,0,0,0,1
Zotu210,Chordata,Scombriformes,Scombriformes,Nomeidae,Cubiceps,,0,1,0,1,0,0
Zotu212,Chordata,Scombriformes,Scombriformes,Nomeidae,Nomeus,Nomeus gronovii,0,1,0,1,1,1
