ID,phylum,class,order,family,genus,species,Berry_16S,MiFish_E,MiFish_U,Riaz_12S
Zotu10,Chordata,Perciformes,Perciformes,Pomacentridae,Abudefduf,Abudefduf sordidus,1,1,1,1
Zotu105,Chordata,Chaetodontiformes,Chaetodontiformes,Chaetodontidae,Heniochus,Heniochus singularius,1,0,0,0
Zotu108,Chordata,Cichliformes,Cichliformes,Cichlidae,Sarotherodon,Sarotherodon melanotheron,1,1,1,0
Zotu111,Chordata,Clupeiformes,Clupeiformes,Clupeidae,Brevoortia,Brevoortia tyrannus,1,0,0,0
Zotu114,Chordata,Clupeiformes,Clupeiformes,Clupeidae,Herklotsichthys,Herklotsichthys quadrimaculatus,1,1,1,1
Zotu117,Chordata,Clupeiformes,Clupeiformes,Clupeidae,Sardinops,,1,0,0,0
Zotu119,Chordata,Clupeiformes,Clupeiformes,Engraulidae,,,1,0,0,0
Zotu121,Chordata,Clupeiformes,Clupeiformes,Engraulidae,Encrasicholina,Encrasicholina purpurea,1,0,0,0
Zotu124,Chordata,Cyprinodontiformes,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia affinis,1,1,0,0
Zotu126,Chordata,Cyprinodontiformes,Cyprinodontiformes,Poeciliidae,Poecilia,Poecilia sp. MR-2020,1,0,0,0
Zotu139,Chordata,Gobiiformes,Gobiiformes,Gobiidae,Asterropteryx,Asterropteryx semipunctata,1,1,1,1
Zotu14,Chordata,Perciformes,Perciformes,Pomacentridae,Dascyllus,,1,0,0,0
Zotu140,Chordata,Gobiiformes,Gobiiformes,Gobiidae,Bathygobius,Bathygobius cocosensis,1,0,1,1
Zotu141,Chordata,Gobiiformes,Gobiiformes,Gobiidae,Gnatholepis,Gnatholepis anjerensis,1,0,0,1
Zotu145,Chordata,Gobiiformes,Gobiiformes,Gobiidae,Psilogobius,Psilogobius mainlandi,1,1,1,1
Zotu153,Chordata,Holocentriformes,Holocentriformes,Holocentridae,Neoniphon,Neoniphon sammara,1,0,0,0
Zotu154,Chordata,Holocentriformes,Holocentriformes,Holocentridae,Plectrypops,Plectrypops lima,1,0,0,0
Zotu155,Chordata,Holocentriformes,Holocentriformes,Holocentridae,Sargocentron,,1,0,0,0
Zotu161,Chordata,Labriformes,Labriformes,Labridae,Bodianus,,1,1,1,1
Zotu162,Chordata,Labriformes,Labriformes,Labridae,Chlorurus,,1,0,0,1
Zotu169,Chordata,Lutjaniformes,Lutjaniformes,Lutjanidae,Lutjanus,,1,0,0,0
Zotu170,Chordata,Lutjaniformes,Lutjaniformes,Lutjanidae,Lutjanus,Lutjanus bohar,1,0,0,0
